,"Tрег, ᵒС","E0, кДж/моль","х0, нм","Sme, м2/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",R_molar
"Tрег, ᵒС",1.0000,0.1294,-0.1294,-0.0180,0.5995,0.2826,0.3093,0.0521,-0.0006,0.2900,0.1732,-0.0067,-0.0460
"E0, кДж/моль",0.1294,1.0000,-1.0000,-0.5005,0.8654,0.4321,0.2530,0.5082,0.5109,-0.5053,-0.3766,0.4298,0.6359
"х0, нм",-0.1294,-1.0000,1.0000,0.5005,0.8677,0.4168,0.2709,-0.5081,-0.5109,0.5052,0.3766,-0.4297,-0.6358
"Sme, м2/г",-0.0180,-0.5005,0.5005,1.0000,0.6419,0.1281,0.1456,-0.1778,-0.2553,0.2576,0.2892,-0.1543,-0.2758
Металл,0.5995,0.8654,0.8677,0.6419,1.0000,0.6157,0.2849,0.6321,0.6224,0.6880,0.3261,0.4560,0.7884
Лиганд,0.2826,0.4321,0.4168,0.1281,0.6157,1.0000,0.1159,0.3881,0.3318,0.2852,0.2682,0.1726,0.7267
Растворитель,0.3093,0.2530,0.2709,0.1456,0.2849,0.1159,1.0000,0.1243,0.1131,0.3522,0.2191,0.1191,0.3418
"m (соли), г",0.0521,0.5082,-0.5081,-0.1778,0.6321,0.3881,0.1243,1.0000,0.8159,-0.4692,-0.3268,0.5784,0.6200
"m(кис-ты), г",-0.0006,0.5109,-0.5109,-0.2553,0.6224,0.3318,0.1131,0.8159,1.0000,-0.4311,-0.2572,0.4925,0.3108
"Т.син., °С",0.2900,-0.5053,0.5052,0.2576,0.6880,0.2852,0.3522,-0.4692,-0.4311,1.0000,0.5663,-0.4272,-0.5740
"Т суш., °С",0.1732,-0.3766,0.3766,0.2892,0.3261,0.2682,0.2191,-0.3268,-0.2572,0.5663,1.0000,-0.2431,-0.4427
"Vсин. (р-ля), мл",-0.0067,0.4298,-0.4297,-0.1543,0.4560,0.1726,0.1191,0.5784,0.4925,-0.4272,-0.2431,1.0000,0.4883
R_molar,-0.0460,0.6359,-0.6358,-0.2758,0.7884,0.7267,0.3418,0.6200,0.3108,-0.5740,-0.4427,0.4883,1.0000
