iter	MAE
0	10.09273103
1	9.826790861
2	9.544886409
3	9.319822555
4	9.158088425
5	9.040555425
6	8.835135289
7	8.712221035
8	8.505836868
9	8.353712474
10	8.159488956
11	7.986304088
12	7.833798835
13	7.66068066
14	7.51140584
15	7.318996047
16	7.159836776
17	7.032909581
18	6.902166848
19	6.779262507
20	6.622839671
21	6.512951634
22	6.49178585
23	6.415360721
24	6.299495273
25	6.161607303
26	6.046813886
27	5.971969349
28	5.876123438
29	5.751972869
30	5.651881566
31	5.578885392
32	5.495168616
33	5.368309417
34	5.298063284
35	5.207188036
36	5.097788359
37	4.999899538
38	4.890283342
39	4.788923004
40	4.719594141
41	4.660756959
42	4.577611041
43	4.489708783
44	4.433710137
45	4.363765964
46	4.274821776
47	4.255478993
48	4.154958242
49	4.083576434
50	4.057764291
51	3.997472033
52	3.915975807
53	3.865460872
54	3.800279565
55	3.772842452
56	3.716468816
57	3.652104543
58	3.592201895
59	3.542103159
60	3.488782696
61	3.443348555
62	3.409696161
63	3.358380584
64	3.301660028
65	3.249402606
66	3.217230869
67	3.161399617
68	3.138944509
69	3.107882907
70	3.073868889
71	3.027446163
72	2.985282854
73	2.925612939
74	2.891316552
75	2.853544912
76	2.824774676
77	2.789742174
78	2.755773602
79	2.703536977
80	2.675606946
81	2.643022704
82	2.606896325
83	2.574101763
84	2.546078286
85	2.508879698
86	2.506700049
87	2.474934447
88	2.465038973
89	2.443118414
90	2.429525619
91	2.39732655
92	2.395537038
93	2.375916241
94	2.355066169
95	2.332687868
96	2.292033624
97	2.267471784
98	2.244310953
99	2.213354502
100	2.190519456
101	2.162094701
102	2.133279742
103	2.1118565
104	2.090725945
105	2.061259319
106	2.041288234
107	2.034078622
108	2.002693029
109	1.981892348
110	1.968761489
111	1.944515445
112	1.930146586
113	1.916780989
114	1.89741241
115	1.876648799
116	1.862000922
117	1.833583136
118	1.81613053
119	1.806675536
120	1.784344705
121	1.767511074
122	1.755290723
123	1.739618245
124	1.7237861
125	1.719426756
126	1.702619361
127	1.70120469
128	1.682036674
129	1.67283941
130	1.658558889
131	1.642389447
132	1.634308108
133	1.627910051
134	1.617863967
135	1.600581072
136	1.587521672
137	1.584767645
138	1.573779602
139	1.562448805
140	1.548689428
141	1.535416991
142	1.530259239
143	1.524123992
144	1.514869989
145	1.50595009
146	1.489024325
147	1.481069763
148	1.471570554
149	1.461750456
150	1.451887727
151	1.444740281
152	1.434929266
153	1.42856532
154	1.420026031
155	1.410474893
156	1.400909844
157	1.394853333
158	1.385046624
159	1.374300576
160	1.36766085
161	1.363865554
162	1.360579897
163	1.353719307
164	1.344656856
165	1.338939674
166	1.3330083
167	1.32998087
168	1.324234461
169	1.316730331
170	1.308310513
171	1.305414545
172	1.299182669
173	1.294388988
174	1.280015143
175	1.274791056
176	1.268993933
177	1.256664001
178	1.254813659
179	1.249338803
180	1.246436371
181	1.239761836
182	1.234346404
183	1.226922827
184	1.226331371
185	1.221530144
186	1.217817593
187	1.214296552
188	1.208601037
189	1.198830078
190	1.195773059
191	1.189206619
192	1.181537532
193	1.179535447
194	1.170044676
195	1.160728113
196	1.153636299
197	1.140776551
198	1.135526858
199	1.12890185
200	1.119035908
201	1.112975936
202	1.10853718
203	1.105430943
204	1.096087919
205	1.088497678
206	1.083478908
207	1.076988859
208	1.074317149
209	1.070154166
210	1.068800925
211	1.057869199
212	1.055795846
213	1.052540938
214	1.051738528
215	1.047912535
216	1.046234986
217	1.045596991
218	1.041106252
219	1.03512612
220	1.032108571
221	1.029623533
222	1.025765843
223	1.020758812
224	1.01887071
225	1.010183212
226	1.008442488
227	1.004127147
228	1.002905867
229	1.0023449
230	0.9983488284
231	0.9961732743
232	0.9930365066
233	0.9899923363
234	0.9847113271
235	0.9812275755
236	0.9781221507
237	0.9737857855
238	0.9703957805
239	0.9682424882
240	0.9662817871
241	0.9629492037
242	0.9601352321
243	0.9587650834
244	0.953901051
245	0.9477162572
246	0.9380593963
247	0.9302684632
248	0.926122685
249	0.9207800985
250	0.9162712783
251	0.9144784123
252	0.9110396171
253	0.9083442985
254	0.9064361932
255	0.903714047
256	0.8985835869
257	0.8954102814
258	0.8928405005
259	0.8907996028
260	0.8809826401
261	0.8716373119
262	0.8607110738
263	0.8566338169
264	0.8502670903
265	0.8465035849
266	0.8423570715
267	0.837429836
268	0.8358852299
269	0.8335573018
270	0.8299127293
271	0.8265584409
272	0.8214947333
273	0.8192235482
274	0.8175602488
275	0.8163161018
276	0.8107972949
277	0.8089794501
278	0.8045032306
279	0.8011993142
280	0.7986428842
281	0.7949862085
282	0.7921066826
283	0.7914203048
284	0.787457715
285	0.784111138
286	0.7791046304
287	0.7768724507
288	0.7762267693
289	0.7652186245
290	0.759731495
291	0.756960469
292	0.7559331607
293	0.7527223344
294	0.7504923355
295	0.7469651176
296	0.7427105471
297	0.7394273526
298	0.7376490576
299	0.735137294
300	0.7345113536
301	0.7312112337
302	0.7263754221
303	0.7252973352
304	0.7241112299
305	0.7209022555
306	0.7198681495
307	0.7180150685
308	0.7088579595
309	0.70254072
310	0.699430068
311	0.6908536316
312	0.6902816536
313	0.6894018074
314	0.686165148
315	0.6834146853
316	0.6794418698
317	0.671174559
318	0.6688660225
319	0.6669375123
320	0.6648353928
321	0.66205897
322	0.6559491074
323	0.6491767926
