material_name,SBET_m2_g,E_kJ_mol,W0_cm3_g,x0_nm,E0_kJ_mol,a0_mmol_g,Ws_cm3_g,metal_source,ligand,solvent,synthesis_temp_c,drying_temp_c
MC-30,1227.81,2079.65,0.8195,1.9,6301.96,23.6226,0.825,Cr(NO3)3·9H2O,Terephthalic acid,deionized water,220,150
Cu(BDC-OH),524.46,7735.73,0.2064,0.51,23441.6,5.9488,0.2164,Cu(NO3)2 · 2.5H2O,"2-hydroxybenzene-1,4-dicarboxylic acid",DEF (8 mL) and EtOH (3 mL),65,150
N-doped NPC-Pd,999.66,362.52,4467866.8946,10.92,1098.54,128786662.4769,1.0807,AlCl3·6H2O,"2-amino-1,4-benzenedicarboxylic acid",methanol,125,80
T-MOF-5,1401.92,4368.16,0.6558,0.91,13236.85,18.9036,1.1882,Zn(NO3)2·6H2O,H2BDC,DMF,100,125
[Mg3(ndc)3],429.52,6109.34,0.1749,0.65,18513.16,5.0422,0.1948,Mg(NO3)2 · 6H2O,"2,6-naphthalenedicarboxylic acid",DMF,110,195
Ni@C 420 nanocomposite,107.18,2862.77,0.0553,1.38,8675.06,1.5938,0.6414,NiCl2·6H2O,terephthalic acid,DMF,125,80
SNU-151',1613.46,8077.6,0.6218,0.49,24477.58,17.9226,0.6902,Zn(OAc)2·2H2O,"6,6',6''-nitrilotri-2-naphthoic acid","N,N-diethylformamide",90,45
MOF-5-C,1723.45,2672.25,0.9536,1.48,8097.74,27.4889,2.9672,Zn(NO3)2 · 6H2O,terephthalic acid,DMF,120,130
[Zn(BDC-NH2).(TED)0.5],1091.66,3249.45,0.4431,1.22,9846.82,12.7738,0.4576,Zn(NO3)2·6H2O,2-hydroxylterephthalic acid,DMF,100,175
CPP-8,12.29,2767.22,0.006,1.43,8385.53,0.1716,0.0749,In(NO3)3*xH2O,"2,6-bis[(4-carboxyanilino)carbonyl]pyridine",DMF,80,150
Sr-MOF-1,2400.27,5456.31,0.978,0.73,16534.27,28.1923,1.4641,Sr(NO3)2,2-aminoterephthalic acid,DMF,160,70
CuBTC,1971.07,4877.09,0.8098,0.81,14779.07,23.344,0.8294,Copper (II) nitrate hemipentahydrate,"benzene-1,3,5-tricarboxylic acid","equal parts DMF, ethanol and deionized water",85,200
TAF-1a,553.75,9888.84,0.2147,0.4,29966.17,6.1884,0.2155,Co(Ac)2·4H2O,4-thmpyH3,MeOH,120,90
MIL-100(Cr),1892.92,3025.35,0.8744,1.31,9167.73,25.2054,0.8935,CrO3,trimesic acid,deionized water,220,100
1.5-[Bmim][OAc]@MIL-101,612.06,3898.5,0.3428,1.02,11813.65,9.8819,0.4608,Cr(NO3)3·9H2O,terephthalic acid,H2O,220,150
PCN-308,2159.24,11216.54,0.7998,0.35,33989.52,23.0546,0.8101,Cu(NO3)2·2.5H2O,"5'-(trifluoromethyl)-[1,1':3',1''-terphenyl]-3,3'',5,5''-tetracarboxylic acid",DMF,60,50
Cr-MIL(101),2814.24,2334.34,1.5333,1.7,7073.77,44.1961,1.5317,Cr(NO3)3 · 9H2O,terephthalic acid,ultrapure water,220,150
IRMOF-1,998.1,7916.41,0.4075,0.5,23989.11,11.7462,0.4148,zinc nitrate hexahydrate,"1,4-benzenedicarboxylate",DMF,120,120
[KCo7(OH)3(ip)6(H2O)4]*12H2O,313.89,6679.35,0.1838,0.59,20240.45,5.2968,0.1899,Co(OAc)2·5H2O,isophthalic acid,MeOH/H2O,160,120
PCN-17,16.57,574.79,0.0183,6.89,1741.8,0.5263,0.0348,Yb(NO3)3·6H2O,H3TATB,DMSO,145,250
DUT-12,816.52,6035.55,0.3442,0.66,18289.55,9.9221,0.4168,Zn(NO3)2·4H2O,"N,N,N′,N′-benzidinetetrabenzoic acid",DMF,80,120
C14H14FeN2O8,6.64,2288.43,0.0038,1.73,6934.63,0.1105,0.0127,FeSO4·7H2O,5-(isonicotinamido)isophthalic acid,H2O,180,120
CuMG-n,928.7,8553.23,0.4992,0.46,25918.87,14.3889,0.5113,copper nitrate hemipentahydrate,"1,3,5-benzenetricarboxylic acid",DMF/ethanol/deionized water,85,120
C11H12GdO11,440.61,4839.94,0.1892,0.82,14666.49,5.4542,0.3418,Gd(NO3)3·6H2O,H2FDA,glycol and H2O,120,300
UPC-16,1502.03,6089.72,0.5848,0.65,18453.7,16.8577,0.5975,MnCl2·4H2O,tris(p-carboxylic acid)tridurylborane,"DMF/1,4-dioxane/H2O (5/2/1)",95,40
MIL-101,2438.24,2182.65,1.3866,1.81,6614.08,39.9692,1.3629,Cr(NO3)3·9H2O,"1,4-benzenedicarboxylic acid",deionized water,220,120
