№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio
4,MOF#4,120,0.20051976,30.0,0.4,5.78,9.9,470.0,0.21051976,33.7,0.01,Cu,BTC,ДМФА,1.485,0.5025,120,25,48.0,1
6,MOF#6,120,0.29002512,31.81818181818182,0.3771428571428572,8.36,10.5,625.4,0.29002512,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.0042,0.4213,120,120,24.0,1
7,MOF#7,120,0.30251424,29.39393939393939,0.4082474226804124,8.72,9.7,616.8,0.30251424,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.0028,0.4276,120,120,24.0,1
8,MOF#8,120,0.28482132,30.3030303030303,0.396,8.21,10.0,605.7,0.28482132,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.5145,0.5753,120,120,36.0,1
11,MOF#11,130,0.30771804,30.0,0.4,8.87,9.9,654.8,0.30771804,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,2.0084,0.8426,130,130,48.0,1
13,MOF#13,120,0.0034692,9.999999999999998,1.2,0.1,3.3,166.8,0.0334692,0.0,0.03,Cu,BTC,ДМФА/Этанол,2.008,0.843,120,120,48.0,1
17,MOF#17,130,0.450996,14.84848484848485,0.8081632653061224,13.0,4.9,1054.4,0.620996,140.1,0.17,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
18,MOF#18,130,0.5862948,14.18181818181818,0.8461538461538463,16.9,4.68,1471.6,1.5662948,483.9,0.98,Al,BTC,ДМФА/Этанол,1.428,0.653,130,130,37.2,1
19,MOF#19,130,0.5533374,15.0,0.8,15.95,4.95,1319.0,0.9133374,266.5,0.36,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
20,MOF#20,130,0.52419612,15.15151515151515,0.792,15.11,5.0,1234.0,0.89419612,280.4,0.37,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
21,MOF#21,130,0.52280844,14.93939393939394,0.8032454361054767,15.07,4.93,1240.6,0.87280844,281.9,0.35,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
23,MOF#23,130,0.589764,14.63636363636364,0.8198757763975155,17.0,4.83,1421.9,1.169764,435.7,0.5800000000000001,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
26,MOF#26,130,0.58560096,15.36363636363636,0.7810650887573964,16.88,5.07,1621.7,1.78560096,430.5,1.2,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
27,MOF#27,130,0.5748464400000001,14.66666666666667,0.8181818181818182,16.57,4.84,1388.2,1.14484644,395.6,0.57,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
29,MOF#29,130,0.56617344,15.57575757575757,0.7704280155642024,16.32,5.14,1544.1,1.22617344,470.2,0.6599999999999999,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
30,MOF#30,130,0.56617344,15.45454545454545,0.7764705882352941,16.32,5.1,1533.5,1.21617344,448.7,0.6499999999999999,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
31,MOF#31,130,0.56478576,15.60606060606061,0.7689320388349515,16.28,5.15,1467.1,1.21478576,433.3,0.65,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1
32,MOF#32,130,0.55715352,15.60606060606061,0.7689320388349515,16.06,5.15,1507.3,1.07715352,378.6,0.52,Al,BTC,ДМФА,1.075,0.492,130,130,28.0,1
33,MOF#33,130,0.58074408,15.39393939393939,0.7795275590551182,16.74,5.08,1659.3,1.45074408,529.0,0.87,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
34,MOF#34,130,0.53009376,16.03030303030303,0.7485822306238185,15.28,5.29,1405.9,0.93009376,283.0,0.4,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
35,MOF#35,130,0.54431748,15.63636363636364,0.7674418604651163,15.69,5.16,1469.6,1.10431748,403.7,0.5599999999999999,Al,BTC,ДМФА,1.074,0.493,130,130,28.0,1
37,MOF#37,130,0.5599288800000001,14.78787878787879,0.8114754098360656,16.14,4.88,1307.9,0.91992888,279.9,0.36,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
38,MOF#38,130,0.55090896,15.36363636363636,0.7810650887573964,15.88,5.07,1312.2,1.00090896,335.6,0.4500000000000001,Al,BTC,ДМФА,1.075,0.491,130,130,28.0,1
39,MOF#39,130,0.5651326799999999,14.90909090909091,0.8048780487804879,16.29,4.92,1312.0,0.8951326799999999,253.7,0.33,Al,BTC,ДМФА,1.075,0.491,130,130,28.0,1
40,MOF#40,130,0.59462088,15.09090909090909,0.7951807228915663,17.14,4.98,1441.8,1.29462088,365.0,0.7000000000000001,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1
