№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
4,MOF#4,120,0.20051976,30.0,0.4,5.78,9.9,470.0,0.21051976,33.7,0.01,Cu,BTC,ДМФА,1.485,0.5025,120,25,48.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,242,207,0.006136363636363637,0.0024275362318840576,2.527814426805347,32.323232301465836,63.546,0.82,1.9,73.095,-0.2956000000000001,0.0,1.0,2.084145624,0.012297872340399366,2343.9086385106953,0.32999999998900004,4653.0,0.080207904,54.262708701619566,-9.900000000045683,3.740567766228852e-06
6,MOF#6,120,0.29002512,31.81818181818182,0.3771428571428572,8.36,10.5,625.4,0.29002512,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.0042,0.4213,120,120,24.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,242,207,0.004149586776859504,0.0020352657004830917,2.0388417772838108,23.89962156552517,63.546,0.82,1.9,45.726333333333336,-0.37390000000000007,0.3333333333333333,0.6666666666666666,3.04526376,0.01336744483528403,2156.364930884728,0.32999999998962853,6566.7,0.10938090240000004,69.12303051442555,-10.500000000035861,3.3252884060598105e-06
7,MOF#7,120,0.30251424,29.39393939393939,0.4082474226804124,8.72,9.7,616.8,0.30251424,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.0028,0.4276,120,120,24.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,242,207,0.004143801652892562,0.0020657004830917872,2.006002167694836,23.932987610756893,63.546,0.82,1.9,45.726333333333336,-0.37390000000000007,0.3333333333333333,0.6666666666666666,2.9343881279999997,0.014137483787266316,2038.9122771909435,0.3299999999887732,5982.959999999999,0.12350065880412373,50.05656402075994,-9.70000000004952,3.8964081918172846e-06
8,MOF#8,120,0.28482132,30.3030303030303,0.396,8.21,10.0,605.7,0.28482132,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,1.5145,0.5753,120,120,36.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,242,207,0.0062582644628099175,0.002779227053140097,2.25179954402772,23.770221179418805,63.546,0.82,1.9,45.726333333333336,-0.37390000000000007,0.3333333333333333,0.6666666666666666,2.8482132,0.013554564966132485,2126.5964144587338,0.32999999998911,6057.0,0.11278924272,56.496518508537534,-10.000000000043876,3.6661304676809057e-06
11,MOF#11,130,0.30771804,30.0,0.4,8.87,9.9,654.8,0.30771804,0.0,0.0,Cu,BTC,ДМФА/Этанол/Вода,2.0084,0.8426,130,130,48.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,242,207,0.008299173553719008,0.0040705314009661835,2.0388422781622157,23.899621577425005,63.546,0.82,1.9,45.726333333333336,-0.37390000000000007,0.3333333333333333,0.6666666666666666,3.0464085960000005,0.01354612095294205,2127.922034964469,0.32999999998900004,6482.5199999999995,0.12308721600000001,54.262708701619566,-9.900000000045683,3.740567766228852e-06
13,MOF#13,120,0.0034692,9.999999999999998,1.2,0.1,3.3,166.8,0.0334692,0.0,0.03,Cu,BTC,ДМФА/Этанол,2.008,0.843,120,120,48.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,242,207,0.008297520661157024,0.004072463768115942,2.03746898588781,23.904382458214947,63.546,0.82,1.9,59.582,-0.14850000000000005,0.5,1.0,0.11044835999999998,0.0005995203836894514,48080.2351896013,0.329999999967,550.44,0.00416304,3.785882722143809,-3.300000000654753,3.366510989604607e-05
17,MOF#17,130,0.450996,14.84848484848485,0.8081632653061224,13.0,4.9,1054.4,0.620996,140.1,0.17,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0028640000000000002,0.0023768115942028986,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,3.0428804,0.012329286798167366,2337.936473188373,0.3299999999777755,5166.56,0.3644784,7.219225807654587,-4.900000000343364,1.5269181456393764e-05
18,MOF#18,130,0.5862948,14.18181818181818,0.8461538461538463,16.9,4.68,1471.6,1.5662948,483.9,0.98,Al,BTC,ДМФА/Этанол,1.428,0.653,130,130,37.2,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0038079999999999998,0.0031545893719806765,1.207129785794999,26.05042014982464,26.9815386,0.675,1.61,59.582,-0.14850000000000005,0.5,1.0,7.330259664,0.011484098939921524,2510.0000844114597,0.3299999999767308,6887.087999999999,0.4960956000000001,6.606115295242808,-4.68000000037523,1.6738487415443386e-05
19,MOF#19,130,0.5533374,15.0,0.8,15.95,4.95,1319.0,0.9133374,266.5,0.36,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0028640000000000002,0.0023768115942028986,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,4.52102013,0.012092494313864978,2383.717416564076,0.329999999978,6529.05,0.44266992,7.366322603689005,-4.950000000336507,1.4962271064912387e-05
20,MOF#20,130,0.52419612,15.15151515151515,0.792,15.11,5.0,1234.0,0.89419612,280.4,0.37,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.11699999999996,-3.2229,120.38999999999999,6,0,375,207,0.0028640000000000002,0.0023719806763285024,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,4.4709806,0.01224473257697549,2354.080754443431,0.32999999997822,6170.0,0.41516332704000003,7.51641660025158,-5.000000000329787,1.466452187072069e-05
