№ Образца,Адсорбент,"Tрег, ᵒС","W0, см3/г","E0, кДж/моль","х0, нм","а0, ммоль/г","E, кДж/моль","SБЭТ, м2/г","Ws, см3/г","Sme, м2/г","Wme, см3/г",Металл,Лиганд,Растворитель,"m (соли), г","m(кис-ты), г","Т.син., °С","Т суш., °С","Vсин. (р-ля), мл",Mix_solv_ratio,carboxyl_groups (ligand),aromatic_rings (ligand),amino_groups (ligand),carbon_atoms (ligand),oxygen_atoms (ligand),nitrogen_atoms (ligand),molecular_weight (ligand),logP (ligand),TPSA (ligand),h_bond_acceptors (ligand),h_bond_donors (ligand),Молярка_соли,Молярка_кислоты,n_соли,n_кислоты,n_ratio,Vsyn_m,Total molecular weight (metal),Average ionic radius (metal),Average electronegativity (metal),Solvent_MolWt,Solvent_LogP,Solvent_NumHDonors,Solvent_NumHAcceptors,Adsorption_Potential,Capacity_Density,SurfaceArea_MicroVol_Ratio,Adsorption_Energy_Ratio,S_BET_E,x0_W0,K_equilibrium,Delta_G,B_micropore
4,MOF#4,120,0.20051976,30.0,0.4,5.78,9.9,470.0,0.21051976,33.7,0.01,Cu,BTC,ДМФА,1.485,0.5025,120,25,48.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,242,207,0.0061363636363636,0.002427536231884,2.527814426805347,32.32323230146584,63.546,0.82,1.9,73.095,-0.2956000000000001,0.0,1.0,2.084145624,0.0122978723403993,2343.908638510696,0.329999999989,4653.0,0.080207904,54.262708701619566,-9.900000000045685,3.740567766228852e-06
17,MOF#17,130,0.450996,14.84848484848485,0.8081632653061224,13.0,4.9,1054.4,0.620996,140.1,0.17,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,3.0428804,0.0123292867981673,2337.936473188373,0.3299999999777755,5166.56,0.3644784,7.219225807654587,-4.900000000343364,1.5269181456393764e-05
19,MOF#19,130,0.5533374,15.0,0.8,15.95,4.95,1319.0,0.9133374,266.5,0.36,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,4.52102013,0.0120924943138649,2383.717416564076,0.329999999978,6529.05,0.44266992,7.366322603689005,-4.950000000336507,1.4962271064912388e-05
20,MOF#20,130,0.52419612,15.15151515151515,0.792,15.11,5.0,1234.0,0.89419612,280.4,0.37,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023719806763285,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,4.4709806,0.0122447325769754,2354.080754443431,0.32999999997822,6170.0,0.41516332704,7.51641660025158,-5.000000000329787,1.466452187072069e-05
21,MOF#21,130,0.52280844,14.93939393939394,0.8032454361054767,15.07,4.93,1240.6,0.87280844,281.9,0.35,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023719806763285,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,4.3029456092,0.0121473480573817,2372.9532706607542,0.3299999999779107,6116.157999999999,0.419943493387424,7.307127599896306,-4.930000000339232,1.5083915044621258e-05
23,MOF#23,130,0.589764,14.63636363636364,0.8198757763975155,17.0,4.83,1421.9,1.169764,435.7,0.5800000000000001,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023719806763285,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.64996012,0.0119558337435741,2410.9643816662865,0.3299999999774533,6867.777000000001,0.4835332173913043,7.018211862715392,-4.830000000353198,1.5714973563606173e-05
26,MOF#26,130,0.58560096,15.36363636363636,0.7810650887573964,16.88,5.07,1621.7,1.78560096,430.5,1.2,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023719806763285,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,9.0529968672,0.0104088302398653,2769.291903535657,0.3299999999785208,8222.019,0.4573924657988165,7.731700006078894,-5.070000000320604,1.4262379809609033e-05
27,MOF#27,130,0.5748464400000001,14.66666666666667,0.8181818181818182,16.57,4.84,1388.2,1.14484644,395.6,0.57,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023719806763285,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,5.5410567696,0.0119363204149172,2414.9057922061656,0.3299999999774999,6718.888,0.4703289054545455,7.046581771918845,-4.840000000351776,1.5650102740933522e-05
29,MOF#29,130,0.56617344,15.57575757575757,0.7704280155642024,16.32,5.14,1544.1,1.22617344,470.2,0.6599999999999999,Al,BTC,ДМФА,1.074,0.491,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023719806763285,1.2074292261958253,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,6.302531481599999,0.0105692636487205,2727.2561518829702,0.3299999999788133,7936.673999999999,0.436195879844358,7.953149507705505,-5.140000000311677,1.3876555540887116e-05
30,MOF#30,130,0.56617344,15.45454545454545,0.7764705882352941,16.32,5.1,1533.5,1.21617344,448.7,0.6499999999999999,Al,BTC,ДМФА,1.074,0.492,130,130,28.0,1,6,1,0,9,6,0,207.117,-3.2229,120.39,6,0,375,207,0.002864,0.0023768115942028,1.2049751027848654,26.07076347665664,26.9815386,0.675,1.61,73.095,-0.2956000000000001,0.0,1.0,6.202484543999999,0.0106423214867879,2708.533973779247,0.3299999999786471,7820.849999999999,0.439617024,7.8258417195697,-5.100000000316747,1.4095080613918498e-05
